"seller_id","seller_city","seller_state","total_orders","total_items_sold","total_revenue","total_freight","total_gross_revenue","avg_item_price","avg_review_score","total_reviews","positive_review_pct"
"5a93f3ab0ef4c84ed5e1b5dbf23978bc","monteiro lobato","SP","39","3","2338.25","697.14","3035.39","53.14","4.73","38","110.53"
"34f563c82a85b99ae9e6d60db5fc2e28","campo bom","RS","8","1","2332.30","246.20","2578.50","291.54","4.63","8","100.00"
"8bdd8e3fd58bafa48af76b2c5fd71974","sao paulo","SP","11","1","2324.82","190.73","2515.55","211.35","4.55","11","90.91"
"1d4587203296c8f4ad134dc286fa6db0","sao paulo","SP","42","3","2323.30","704.24","3027.54","54.03","4.30","42","88.10"
"df91910b6a03bb2e3358fa6a35e32f6f","sao paulo","SP","14","1","2312.10","395.02","2707.12","165.15","4.36","14","85.71"
"fd386aa7bed2af3c7035c65506c9b4a3","sao paulo","SP","69","3","2304.15","1012.02","3316.17","30.32","4.36","69","91.30"
"0725b8c0f3f906e58f70cbe76b7c748c","guarulhos","SP","17","7","2292.51","772.51","3065.02","57.31","3.58","18","127.78"
"6338ea67c41078a46ad99cc009654956","farroupilha","RS","37","3","2286.09","924.30","3210.39","51.96","4.61","35","111.43"
"7238a95bb63ef7e498389fb863b834a1","limeira","SP","15","1","2265.70","569.41","2835.11","151.05","4.73","15","93.33"
"e8f6dc8e6a1dcde89d20e3995c8d90b3","sao paulo","SP","36","6","2256.34","2051.68","4308.02","47.01","3.35","36","72.22"
"8fe8786ee000001ab51d030dfd4a7bf1","paulo lopes","SC","5","1","2255.00","201.44","2456.44","451.00","4.60","5","80.00"
"655220df33262c7e0c4949a147366f94","diadema","SP","13","3","2245.00","681.53","2926.53","149.67","4.20","13","92.31"
"7b8e8ec35bad4b0ef7e3963650b0a87b","tubarao","SC","5","1","2244.28","372.02","2616.30","448.86","4.80","5","100.00"
"1b1ae47a313a825a7ccceb8e2e30fa9d","bocaiuva do sul","PR","11","1","2243.90","246.50","2490.40","203.99","3.90","10","70.00"
"3e8bd881d92466e63ba9e3e809cd3c50","rio de janeiro","RJ","9","2","2242.28","207.97","2450.25","224.23","4.22","8","87.50"
"5abb8ea023c77787f2c15da891c8d384","joinville","SC","13","1","2241.00","746.20","2987.20","172.38","3.92","13","61.54"
"54583ab379489add547fe47b628db589","sao bernardo do campo","SP","10","1","2240.00","151.08","2391.08","224.00","4.80","10","100.00"
"cac876b37d3abcd6bd76caca30277996","cascavel","PR","27","5","2229.77","729.02","2958.79","67.57","4.56","26","111.54"
"b83cedfb587e7911540e3f576d6917ce","sao paulo","SP","24","2","2224.95","343.80","2568.75","89.00","4.24","24","87.50"
"b74d1c09cb380e1d03a6f859c6f4224b","rio de janeiro","RJ","31","4","2221.60","831.60","3053.20","56.96","4.21","31","103.23"
"fb89df7f89fd1b8f03fa2acca1ba7364","foz do iguacu","PR","22","2","2220.00","467.43","2687.43","88.80","3.84","22","72.73"
"3a4127e1ba7208ea37044c5092aae170","sao paulo","SP","6","1","2219.60","91.35","2310.95","369.93","3.50","6","66.67"
"747e73c01a4593d4cf60dcf970fd2689","vitoria de santo antao","PE","3","1","2217.99","123.77","2341.76","739.33","4.33","3","100.00"
"77a515caa36327151d1cc6c32a9f00e1","diadema","SP","26","1","2217.39","396.19","2613.58","85.28","4.42","26","84.62"
"abbf6046bbdf1028606a5bc7f00c99e7","xanxere","SC","7","1","2217.15","175.99","2393.14","316.74","4.14","7","85.71"
"f214d28e8d8e3ef068748498ccc2f813","sao paulo","SP","54","2","2212.41","809.11","3021.52","37.50","4.02","53","84.91"
"4992e76a42cb3aad7a7047e0d3d7e729","sao paulo","SP","57","6","2211.10","1007.47","3218.57","29.88","3.84","57","84.21"
"e5475dcab1e07b63d7f6e902d8f5eda8","diadema","SP","19","1","2192.00","251.22","2443.22","115.37","4.11","19","68.42"
"91f0eec23d4a61d7d7caeefa3f0ad1ca","tubarao","SC","11","1","2190.80","354.46","2545.26","199.16","3.55","11","72.73"
"14a08204d03bb6b6bde8029f801ae0eb","sao paulo","SP","28","5","2185.40","593.70","2779.10","57.51","3.82","28","100.00"
"373ee4a3a775a733770ca3f790b8b9ac","rio de janeiro","RJ","13","6","2183.07","299.22","2482.29","94.92","4.00","14","128.57"
"30c7f28fd3a5897b2c82d152bb760c17","niteroi","RJ","7","1","2178.27","324.89","2503.16","311.18","1.67","6","0.00"
"8ca1551acf9832a4cf467bbbac15851f","campo largo","PR","11","2","2176.40","266.54","2442.94","181.37","3.67","11","72.73"
"53d00c40e32aeb924a84ce72b1af869d","ibitinga","SP","17","2","2165.85","296.22","2462.07","127.40","4.35","17","82.35"
"2be17df1c49978426251562096c3cc09","tubarao","SC","16","2","2165.00","312.55","2477.55","135.31","4.19","16","81.25"
"0ffa40d54288e4f3499b8780dd0f144f","presidente prudente","SP","33","2","2162.80","583.67","2746.47","61.79","4.40","33","87.88"
"7fc87cc3e89b3d1d5cabdca32f8485aa","guarulhos","SP","14","1","2153.90","681.92","2835.82","153.85","3.57","14","64.29"
"72bc2cce903c872fe376a8faaa81d237","sao paulo","SP","17","2","2149.20","255.77","2404.97","119.40","4.44","17","94.12"
"b56906f7fd1696e043f1bcce164c487b","echapora","SP","40","2","2148.49","846.93","2995.42","51.15","3.95","40","75.00"
"0ed6ce5d87fd9c69eaacaeb778d67235","americana","SP","43","1","2141.42","687.83","2829.25","49.80","4.40","42","83.33"
"723cd880edaacdb998898b67c8f9da30","ibitinga","SP","11","2","2136.53","413.10","2549.63","178.04","4.17","11","90.91"
"f5f2ab9bdb6b30c14c61be68c5ed37da","porto ferreira","SP","18","1","2134.68","339.87","2474.55","118.59","4.28","18","83.33"
"87d30a6a0cbf89356e49324971ab1d24","sao paulo","SP","17","1","2134.13","215.78","2349.91","125.54","4.35","17","88.24"
